poly_id,s2_date,ndvi_finale,sorgente,distanza_giorni,ndvi_osservato
P001,2023-01-03,0.3783680470825323,radar,25,
P001,2023-01-08,0.15382964898176238,radar,20,
P001,2023-01-13,0.15382964898176238,radar,15,
P001,2023-01-18,0.3362904247513313,radar,10,
P001,2023-01-23,0.3362904247513313,radar,5,
P001,2023-01-28,0.3152,osservato,0,0.3152
P001,2023-02-02,0.2929,interpolato,5,
P001,2023-02-07,0.2706,osservato,0,0.2706
P001,2023-02-12,0.2159,osservato,0,0.2159
P001,2023-02-17,0.2343,osservato,0,0.2343
P001,2023-02-22,0.21457500000000002,interpolato,5,
P001,2023-02-27,0.19485000000000002,interpolato,10,
P001,2023-03-09,0.1554,osservato,0,0.1554
P001,2023-03-14,0.17605,interpolato,5,
P001,2023-03-19,0.19669999999999999,interpolato,10,
P001,2023-03-24,0.21735,interpolato,5,
P001,2023-03-29,0.238,osservato,0,0.238
P001,2023-04-03,0.1446,osservato,0,0.1446
P001,2023-04-08,0.1474,interpolato,5,
P001,2023-04-13,0.1502,osservato,0,0.1502
P001,2023-04-18,0.14545,interpolato,5,
P001,2023-04-23,0.1407,osservato,0,0.1407
P001,2023-04-28,0.18506666666666666,interpolato,5,
P001,2023-05-03,0.22943333333333332,interpolato,5,
P001,2023-05-08,0.2738,osservato,0,0.2738
P001,2023-05-13,0.3263,interpolato,5,
P001,2023-05-18,0.3788,osservato,0,0.3788
P001,2023-05-23,0.39875000000000005,interpolato,5,
P001,2023-05-28,0.4187,interpolato,10,
P001,2023-06-02,0.43865,interpolato,5,
P001,2023-06-07,0.4586,osservato,0,0.4586
P001,2023-06-12,0.6069,osservato,0,0.6069
P001,2023-06-17,0.6809,osservato,0,0.6809
P001,2023-06-22,0.73425,interpolato,5,
P001,2023-06-27,0.7876,interpolato,10,
P001,2023-07-02,0.84095,interpolato,5,
P001,2023-07-07,0.8943,osservato,0,0.8943
P001,2023-07-12,0.8188,osservato,0,0.8188
P001,2023-07-17,0.8139,osservato,0,0.8139
P001,2023-07-22,0.579,osservato,0,0.579
P001,2023-07-27,0.7297,osservato,0,0.7297
P001,2023-08-01,0.76955,interpolato,5,
P001,2023-08-06,0.8094,osservato,0,0.8094
P001,2023-08-11,0.7508,osservato,0,0.7508
P001,2023-08-16,0.7387,osservato,0,0.7387
P001,2023-08-21,0.7034,osservato,0,0.7034
P001,2023-08-26,0.3387,osservato,0,0.3387
P001,2023-08-31,0.2452,osservato,0,0.2452
P001,2023-09-05,0.2311,osservato,0,0.2311
P001,2023-09-10,0.233,osservato,0,0.233
P001,2023-09-15,0.23883333333333334,interpolato,5,
P001,2023-09-20,0.24466666666666667,interpolato,5,
P001,2023-09-25,0.2505,osservato,0,0.2505
P001,2023-09-30,0.243,osservato,0,0.243
P001,2023-10-05,0.14834999999999998,interpolato,5,
P001,2023-10-10,0.0537,osservato,0,0.0537
P001,2023-10-15,0.08494,interpolato,5,
P001,2023-10-20,0.11618,interpolato,10,
P001,2023-10-25,0.14742,interpolato,10,
P001,2023-10-30,0.17865999999999999,interpolato,5,
P001,2023-11-04,0.2099,osservato,0,0.2099
P001,2023-11-09,0.190475,interpolato,5,
P001,2023-11-14,0.17105,interpolato,10,
P001,2023-11-19,0.151625,interpolato,5,
P001,2023-11-24,0.1322,osservato,0,0.1322
P001,2023-11-29,0.1626,osservato,0,0.1626
P001,2023-12-09,0.0096,osservato,0,0.0096
P001,2023-12-14,0.09195,interpolato,5,
P001,2023-12-19,0.1743,osservato,0,0.1743
P001,2023-12-24,0.1647,osservato,0,0.1647
P001,2023-12-29,0.17555,interpolato,5,
P001,2024-01-03,0.1864,interpolato,10,
P001,2024-01-08,0.19725,interpolato,5,
P001,2024-01-13,0.2081,osservato,0,0.2081
P001,2024-01-18,0.21245,interpolato,5,
P001,2024-01-23,0.2168,osservato,0,0.2168
P001,2024-01-28,0.2162,interpolato,5,
