,P001,P002,P003,P004,P005,P006,P007,P008,P009,P010,P011,P012,P013,P014,P015,P016,P017,P018,P019,P020,P021,P022,P023,P024,P025,P026,P027,P028,P029,P030,P031,P032,P033,P034,P035,P036,P037,P038,P039,P040,P041,P042,P043,P044,P045,P046,P047,P048,P049,P050,P051,P052,P053,P054,P055,P056,P057,P058,P059,P060,P061,P062,P063,P064,P065,P066,P067,P068,P069,P070,P071,P072,P073,P074,P075,P076,P077,P078,P079,P080,P081,P082,P083,P084,P085,P086,P087,P088,P089,P090,P091,P092,P093,P094,P095,P096,P097,P098,P099,P100,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113,P114,P115,P116,P117,P118,P119,P120,P121,P122,P123,P124,P125,P126,P127,P128,P129,P130,P131,P132,P133,P134,P135,P136,P137,P138,P139,P140,P141,P142,P143,P144,P145,P146,P147,P148,P149,P150,P151,P152,P153,P154
2023-01-03,0.3783680470825323,,0.37009936527336423,0.4004911837169372,0.44000705397970163,0.3101335761137034,,0.39849810472762903,0.4603960066467813,0.4906116975939573,0.4065162150905828,0.17207749474811224,0.10363110819671534,0.32365441301715303,0.28804053306676847,0.3568113993158411,0.387936071560697,0.3413196285806876,0.40152182689220206,0.2988422599407848,0.47684398558605473,0.32208818315140286,,0.3434533954302359,0.3804151147397644,0.2623347524532892,0.40678269866773553,0.22790690771959954,0.3727114739032649,0.718285749693149,,,,,,0.3762248601498115,0.48742381158990505,0.5413706917202802,0.3564078950372171,0.34016152739534855,0.38218241412972587,0.4639324158743202,,,0.5774767131068554,,,,0.3647261972552659,,0.36839531903688366,0.43967297015876994,0.5720399287201715,0.26161337178015587,0.27744087880386903,0.3120749427135803,,0.3057801884452762,0.677326495097059,0.21758158727080468,,,0.3111410599076087,0.3201160396486166,0.562822664657861,0.24073015056861524,0.27966780147200543,0.21557100382602615,0.44454397463283707,0.4015268115177535,,0.23923490784954282,0.36135195807464277,0.3917927960258306,0.2750397886121283,0.2947667977821408,0.2565577284681295,0.20178321459491427,,0.6462716421719372,,0.24555336584098772,0.34771636994439276,,0.35982297998066415,,0.4161488305283289,0.2862308572755764,,0.26046909745727287,0.3308770008867993,0.5024071605884073,,,0.3549974808352956,,,0.4516490957608142,0.4414256291027297,,0.49781416762793823,,,0.41583501101978526,,,0.512791229786546,0.28809782728598066,0.510448384251116,0.24695971469878342,0.394329158293928,,0.2975937080618698,0.336606119946071,0.3132422807317318,,0.30106719828463896,,,0.3738100808208376,0.30483086783472524,0.2362289567527861,0.47049487729121797,,0.3766621203011666,0.3494770789676426,0.34039261047169533,,0.3940380115270914,0.30527813186523206,0.21246548181922842,0.35616064436046474,0.442519127614753,0.3966940930610968,0.29756848980103345,,,0.2244403801408535,0.38972584862909215,0.261850533917219,0.3405591360387986,0.23482222130263297,0.42530206141256527,0.19086347520903643,0.2589601363264814,,0.413883600039106,0.37462310427481005,,,0.3196191864564255,0.5182222592180565,0.28309136254943135,
2023-01-08,0.15382964898176238,,0.3059555775687414,0.2689326856847958,0.3388390281320596,0.22820568374232006,,0.1768724054610898,0.372844470646399,0.3129800582568637,0.3519952483275755,0.15361232023360732,0.06013875665367974,0.2807186342773397,0.18855651937415907,0.2969628454544035,0.3060380182817063,0.2681030517780758,0.26961832036080213,0.24655426395020832,0.3142397171731204,0.248945709726439,,0.21090794131328647,0.3356289095557783,0.18047057207704054,0.35276895373685374,0.17576611665330605,0.3087090849728512,0.6057304256822081,,,,,,0.29527577172082864,0.38531533029413445,0.5213064174972365,0.27618214551361897,0.2778423381801647,0.3078831106588478,0.3321272956510104,,,0.5739703471690789,,,,0.3093647848587147,,0.2871300365732957,0.2547195296681578,0.5634519974579679,0.2232630386266128,0.21876714830753574,0.26137889063345054,,0.2559254932234335,0.5730464189261464,0.20039999968484878,,,0.2638131806320622,0.258876909730518,0.44355737821410657,0.19010489583409357,0.1945920331110512,0.18737060457597424,0.34252664128569227,0.3010302392204144,,0.22406219836720376,0.28069281403069696,0.3395470039597459,0.19223035140880274,0.2607343387556788,0.18925472411025665,0.18040551529393103,,0.4722727663089805,,0.20352327923766958,0.3048213242165829,,0.3207292414317632,,0.3609920784359914,0.24924866711123841,,0.23244933985480257,0.2835305750213284,0.44344688642084296,,,0.2604800117237109,,,0.34994050307175434,0.3099112814190342,,0.43488702664516177,,,0.30090972717850306,,,0.42477943461196405,0.2756539733777006,0.42443192992465323,0.2455262404777984,0.3252166410805265,,0.23160032015655094,0.22561554578010795,0.27030648968691545,,0.29163019096935255,,,0.2915715274337243,0.30357241025362514,0.2335471360077424,0.40267707037527334,,0.3080031073380249,0.3315036261094124,0.2845283506490756,,0.34392669674027254,0.21887477921277498,0.2211531435907259,0.35794494545938366,0.3724415288205327,0.29608964741835697,0.2314247136366363,,,0.21165711560205525,0.34763275601339516,0.21947358735124473,0.3316306825498873,0.19473967232904743,0.36172323200738427,0.20472388948324902,0.1821677751745101,,0.37175919277148023,0.3125856051314938,,,0.3076553053589144,0.41023715640878683,0.2160830890897282,
2023-01-13,0.15382964898176238,,0.3059555775687414,0.2689326856847958,0.3388390281320596,0.22820568374232006,,0.1768724054610898,0.372844470646399,0.3129800582568637,0.3519952483275755,0.15361232023360732,0.06013875665367974,0.2807186342773397,0.18855651937415907,0.2969628454544035,0.3060380182817063,0.2681030517780758,0.26961832036080213,0.24655426395020832,0.3142397171731204,0.248945709726439,,0.21090794131328647,0.3356289095557783,0.18047057207704054,0.35276895373685374,0.17576611665330605,0.3087090849728512,0.6057304256822081,,,,,,0.29527577172082864,0.38531533029413445,0.5213064174972365,0.27618214551361897,0.2778423381801647,0.3078831106588478,0.3321272956510104,,,0.5739703471690789,,,,0.3093647848587147,,0.2871300365732957,0.2547195296681578,0.5634519974579679,0.2232630386266128,0.21876714830753574,0.26137889063345054,,0.2559254932234335,0.5730464189261464,0.20039999968484878,,,0.2638131806320622,0.258876909730518,0.44355737821410657,0.19010489583409357,0.1945920331110512,0.18737060457597424,0.34252664128569227,0.3010302392204144,,0.22406219836720376,0.28069281403069696,0.3395470039597459,0.19223035140880274,0.2607343387556788,0.18925472411025665,0.18040551529393103,,0.4722727663089805,,0.20352327923766958,0.3048213242165829,,0.3207292414317632,,0.3609920784359914,0.24924866711123841,,0.23244933985480257,0.2835305750213284,0.44344688642084296,,,0.2604800117237109,,,0.34994050307175434,0.3099112814190342,,0.43488702664516177,,,0.30090972717850306,,,0.42477943461196405,0.2756539733777006,0.42443192992465323,0.2455262404777984,0.3252166410805265,,0.23160032015655094,0.22561554578010795,0.27030648968691545,,0.29163019096935255,,,0.2915715274337243,0.30357241025362514,0.2335471360077424,0.40267707037527334,,0.3080031073380249,0.3315036261094124,0.2845283506490756,,0.34392669674027254,0.21887477921277498,0.2211531435907259,0.35794494545938366,0.3724415288205327,0.29608964741835697,0.2314247136366363,,,0.21165711560205525,0.34763275601339516,0.21947358735124473,0.3316306825498873,0.19473967232904743,0.36172323200738427,0.20472388948324902,0.1821677751745101,,0.37175919277148023,0.3125856051314938,,,0.3076553053589144,0.41023715640878683,0.2160830890897282,
2023-01-18,0.3362904247513313,,0.3989581017825818,0.402647990567856,0.4365754681271228,0.32252289820875735,,0.3664842134582583,0.4373255006431755,0.4542703521553151,0.38210820060041795,0.22547150980060676,0.15346869227115162,0.3557949703855362,0.29159612237187416,0.3353725607330571,0.4010541896675922,0.35337056646276244,0.45877074246534244,0.31702475428034965,0.4867684755041268,0.35122501453224664,,0.3310726344235442,0.36061853469152305,0.27194203458086635,0.34270465405760736,0.19912075011439978,0.37796758685049714,0.6336371580955543,,,,,,0.4336815887979478,0.4705811411284757,0.5406653781043858,0.29006439250434113,0.3521075269394339,0.38067067079382866,0.4726662516753345,,,0.5685525578494688,,,,0.37065576405006384,,0.42783458677489944,0.49676436539012014,0.5665484618365929,0.35808647546886163,0.3058306782433532,0.3040866881377069,,0.35810930650892114,0.5217228540044624,0.2496408234297422,,,0.3235604485820938,0.3724281849082748,0.5903012480454507,0.23444188379432113,0.31663238267892224,0.1996130270317518,0.463140634507829,0.4003606326435232,,0.24970501503817233,0.45205039082138826,0.4883576285578526,0.2826323248099609,0.3274060372116621,0.27419751608311166,0.24595013682821576,,0.5172873950189661,,0.3012778418813077,0.3760696473766994,,0.4232357655992651,,0.4428249853160791,0.25226257089929005,,0.2745110695444684,0.35897488666144084,0.5557958450149552,,,0.41269045666493787,,,0.5042728480635681,0.36771385375229987,,0.5042571368536725,,,0.44116582836750706,,,0.5235762733653675,0.3224615785272219,0.5737022600831045,0.3069049335615169,0.4210519814422813,,0.32742699860097435,0.3222508158270329,0.3367459119509662,,0.35724230335745705,,,0.40921459970178603,0.3559290453996108,0.31544053865206556,0.5105965023907302,,0.3993748787605989,0.3934582377549909,0.4092072314436438,,0.4139004358469984,0.3590030443403456,0.2647757333694385,0.3746461942988928,0.4672882320802495,0.42529528835154684,0.2666359658739044,,,0.27258250055401895,0.41401326312073994,0.28967030208969663,0.3720118298499393,0.2623913453223665,0.4434449589314717,0.2713134458238917,0.2727022943812888,,0.4401581270758813,0.4028983634966482,,,0.3693766157906952,0.541822828188471,0.3104349168322291,
2023-01-23,0.3362904247513313,,0.3989581017825818,0.402647990567856,0.4365754681271228,0.32252289820875735,,0.3664842134582583,0.4373255006431755,0.4542703521553151,0.38210820060041795,0.22547150980060676,0.15346869227115162,0.3557949703855362,0.29159612237187416,0.3353725607330571,0.4010541896675922,0.35337056646276244,0.45877074246534244,0.31702475428034965,0.4867684755041268,0.35122501453224664,,0.3310726344235442,0.36061853469152305,0.27194203458086635,0.34270465405760736,0.19912075011439978,0.37796758685049714,0.6336371580955543,,,,,,0.4336815887979478,0.4705811411284757,0.5406653781043858,0.29006439250434113,0.3521075269394339,0.38067067079382866,0.4726662516753345,,,0.5685525578494688,,,,0.37065576405006384,,0.42783458677489944,0.49676436539012014,0.5665484618365929,0.35808647546886163,0.3058306782433532,0.3040866881377069,,0.35810930650892114,0.5217228540044624,0.2496408234297422,,,0.3235604485820938,0.3724281849082748,0.5903012480454507,0.23444188379432113,0.31663238267892224,0.1996130270317518,0.463140634507829,0.4003606326435232,,0.24970501503817233,0.45205039082138826,0.4883576285578526,0.2826323248099609,0.3274060372116621,0.27419751608311166,0.24595013682821576,,0.5172873950189661,,0.3012778418813077,0.3760696473766994,,0.4232357655992651,,0.4428249853160791,0.25226257089929005,,0.2745110695444684,0.35897488666144084,0.5557958450149552,,,0.41269045666493787,,,0.5042728480635681,0.36771385375229987,,0.5042571368536725,,,0.44116582836750706,,,0.5235762733653675,0.3224615785272219,0.5737022600831045,0.3069049335615169,0.4210519814422813,,0.32742699860097435,0.3222508158270329,0.3367459119509662,,0.35724230335745705,,,0.40921459970178603,0.3559290453996108,0.31544053865206556,0.5105965023907302,,0.3993748787605989,0.3934582377549909,0.4092072314436438,,0.4139004358469984,0.3590030443403456,0.2647757333694385,0.3746461942988928,0.4672882320802495,0.42529528835154684,0.2666359658739044,,,0.27258250055401895,0.41401326312073994,0.28967030208969663,0.3720118298499393,0.2623913453223665,0.4434449589314717,0.2713134458238917,0.2727022943812888,,0.4401581270758813,0.4028983634966482,,,0.3693766157906952,0.541822828188471,0.3104349168322291,
2023-01-28,0.3152,0.4326,0.5886,0.229,0.2838,0.2028,0.1934,0.3775,0.196,0.3665,0.2561,0.5926,0.6273,0.4129,0.2219,0.1471,0.2517,0.343,0.7234,0.1747,0.2252,0.1667,0.2226,0.2537,0.1507,0.1901,0.1764,0.3952,0.2039,0.7577,0.7165,0.3341,0.2736,0.326,0.3551,0.7307,0.4746,0.4778,0.4269,0.2037,0.1728,0.2044,0.2013,0.4241,0.4768,0.4532,0.2612,0.2445,0.1948,0.1918,0.1869,0.7519,0.4714,0.3691,0.2159,0.4468,0.3361,0.1476,0.4601,0.1741,0.1822,0.2296,0.1995,0.1753,0.5231,0.1811,0.2062,0.1456,0.1723,0.2125,0.1924,0.5665,0.7903,0.7956,0.1765,0.3752,0.1914,0.4,0.2167,0.2567,0.2544,0.4795,0.1978,0.482,0.1994,0.2014,0.2023,0.1899,0.5474,0.465,0.4274,0.2276,0.2491,0.1843,0.2031,0.5039,0.2259,0.2262,0.2501,0.2923,0.2247,0.2305,0.1543,0.196,0.3706,0.2512,0.7828,0.5482,0.526,0.6272,0.1856,0.21,0.194,0.2299,0.3121,0.195,0.695,0.1336,0.2004,0.1983,0.7019,0.6883,0.175,0.1878,0.2862,0.417,0.1879,0.2526,0.2341,0.1923,0.6198,0.498,0.2464,0.1747,0.1715,0.3003,0.5938,0.4748,0.2231,0.2152,0.5749,0.228,0.1663,0.6469,0.1959,0.203,0.1933,0.2153,0.5564,0.2205,0.6969,0.4344,0.1853,0.2114
2023-02-02,0.2929,0.42505,0.5851999999999999,0.22255,0.2848,0.19875,0.1822,0.3597,0.2023,0.37029999999999996,0.25680000000000003,0.61585,0.65315,0.42925,0.20829999999999999,0.16365000000000002,0.2505,0.35285,0.7361,0.17035,0.23220000000000002,0.16175,0.21345,0.24075,0.16535,0.1762,0.17625000000000002,0.40385,0.202,0.76505,0.5722,0.3347,0.27615,0.32625000000000004,0.0555,0.7381,0.4651,0.4829,0.4158,0.18995,0.16375,0.19405,0.2683,0.3943,0.47605,0.45135000000000003,0.2582,0.2314,0.2129,0.17775000000000002,0.0675,0.3608,0.47155,0.3671,0.1984,0.4452,0.33335000000000004,0.1427,0.46295,0.17215,0.1729,0.2318,0.1753,0.1443,0.5275,0.1676,0.1724,0.1286,0.1063,0.1765,0.1074,0.5539,0.5718,0.5428,0.1684,0.4305,0.192,0.4033,0.1822,0.2485,0.2069,0.467,0.1728,0.4106,0.1797,0.173,0.1818,0.1229,0.558,0.4713,0.2701,0.219,0.2353,0.1063,0.1914,0.5063,0.2196,0.1999,0.2571,0.3048,0.2328,0.1709,0.0907,0.1814,0.38,0.24,0.7754,0.2788,0.5422,0.655,0.1565,0.1373,0.1388,0.1036,0.2315,0.187,0.667,0.0955,0.1644,0.1665,0.6102,0.6661,0.1563,0.1357,0.1392,0.4218,0.1632,0.2488,0.2034,0.169,0.6229,0.5019,0.2212,0.1655,0.1317,0.2941,0.5776,0.4752,0.1148,0.16,0.5741,0.1462,0.1406,0.6538,0.1708,0.1717,0.1775,0.1748,0.5126,0.1899,0.6881,0.3978,0.1551,0.1737
2023-02-07,0.2706,0.4175,0.5818,0.2161,0.2858,0.1947,0.171,0.3419,0.2086,0.3741,0.2575,0.6391,0.679,0.4456,0.1947,0.1802,0.2493,0.3627,0.7488,0.166,0.2392,0.1568,0.2043,0.2278,0.18,0.1623,0.1761,0.4125,0.2001,0.7724,0.4279,0.3353,0.2787,0.3265,0.3559,0.7455,0.4556,0.488,0.4047,0.1762,0.1547,0.1837,0.1626,0.3645,0.4753,0.4495,0.2685,0.2576,0.1707,0.1637,0.1746,0.7627,0.4717,0.3651,0.2025,0.4566,0.3306,0.1378,0.4658,0.1702,0.1636,0.2319,0.1849,0.1653,0.5292,0.1747,0.1686,0.1429,0.1619,0.1868,0.1545,0.572,0.8008,0.8122,0.174,0.3844,0.1762,0.3726,0.187,0.2575,0.2502,0.458,0.1808,0.483,0.1806,0.1696,0.1845,0.1662,0.5495,0.4671,0.4478,0.2011,0.2609,0.1617,0.1813,0.514,0.2429,0.1983,0.244,0.2933,0.2128,0.2353,0.1373,0.176,0.3747,0.2548,0.7678,0.5713,0.509,0.6696,0.1733,0.1842,0.1789,0.2073,0.2118,0.184,0.7472,0.14,0.167,0.185,0.7549,0.7473,0.1577,0.1884,0.2696,0.4295,0.1791,0.2594,0.2144,0.1895,0.6663,0.506,0.2239,0.1697,0.1503,0.3074,0.6043,0.48,0.1971,0.173,0.6004,0.21,0.1487,0.687,0.1644,0.1713,0.1731,0.1877,0.5476,0.1869,0.7176,0.4004,0.1494,0.1678
2023-02-12,0.2159,0.3591,0.5193,0.1829,0.2417,0.1482,0.1286,0.2787,0.1642,0.3205,0.2121,0.5767,0.6158,0.3932,0.1591,0.1349,0.2038,0.3163,0.69,0.1212,0.209,0.1084,0.1592,0.1776,0.1331,0.1142,0.1228,0.346,0.1518,0.7041,0.2267,0.2858,0.2334,0.2793,0.3163,0.6876,0.3857,0.4151,0.3046,0.1233,0.1143,0.1411,0.1148,0.309,0.4026,0.3564,0.2354,0.2165,0.1283,0.1216,0.1211,0.6983,0.4062,0.2927,0.1603,0.3995,0.2868,0.0929,0.4037,0.1271,0.1212,0.1876,0.1356,0.1233,0.4591,0.1278,0.1178,0.0964,0.1277,0.1435,0.0952,0.505,0.7443,0.7576,0.1367,0.3381,0.1326,0.3082,0.1421,0.2155,0.2053,0.3733,0.137,0.4187,0.1369,0.1279,0.1308,0.1328,0.4785,0.4116,0.3946,0.1544,0.2132,0.1222,0.1406,0.4514,0.1943,0.1458,0.2044,0.2524,0.1681,0.1911,0.1012,0.1246,0.3269,0.2096,0.6328,0.5087,0.4377,0.6108,0.1309,0.1393,0.1409,0.1707,0.1167,0.1459,0.6818,0.1148,0.1186,0.1294,0.69,0.6751,0.111,0.1559,0.215,0.3791,0.1208,0.2201,0.1768,0.1237,0.6031,0.4562,0.1798,0.1387,0.1025,0.2683,0.5346,0.4374,0.1569,0.129,0.5245,0.1734,0.1168,0.6284,0.1146,0.1318,0.1353,0.1454,0.4578,0.1463,0.6486,0.3277,0.115,0.1342
2023-02-17,0.2343,0.2972,0.5048,0.1886,0.2439,0.1488,0.1295,0.2736,0.1671,0.3172,0.219,0.6069,0.639,0.3928,0.1711,0.1458,0.2292,0.3098,0.6771,0.1142,0.2085,0.1113,0.1587,0.1746,0.1207,0.121,0.1072,0.3261,0.1686,0.6036,0.233,0.2677,0.2251,0.2779,0.3155,0.6736,0.4307,0.3835,0.2466,0.1419,0.1267,0.1463,0.1239,0.2887,0.3838,0.2697,0.2225,0.2018,0.1282,0.121,0.1512,0.6835,0.3831,0.2864,0.16,0.4019,0.2756,0.095,0.3896,0.1573,0.1123,0.1887,0.1344,0.1139,0.4894,0.1237,0.1334,0.0916,0.1486,0.146,0.1089,0.4971,0.7336,0.7445,0.1329,0.2952,0.1423,0.3012,0.1572,0.2085,0.2057,0.3425,0.132,0.4102,0.1678,0.1225,0.1372,0.1872,0.4914,0.3995,0.4008,0.1803,0.1958,0.1328,0.2005,0.4138,0.1885,0.1499,0.1873,0.2304,0.2885,0.1826,0.1294,0.1649,0.2828,0.198,0.4557,0.4594,0.4142,0.5145,0.1715,0.1565,0.1719,0.2318,0.163,0.145,0.5508,0.1637,0.134,0.1566,0.5438,0.5238,0.3588,0.2084,0.2278,0.2533,0.1218,0.1567,0.2289,0.1254,0.4836,0.3716,0.2001,0.1368,0.119,0.16,0.4028,0.3353,0.1719,0.1411,0.3379,0.191,0.1662,0.4049,0.1477,0.1562,0.1742,0.172,0.3015,0.158,0.4129,0.2428,0.1374,0.1757
