poly_id,n,ndvi_min,ndvi_max,ndvi_span,rvi_min,rvi_max,slope,intercept,pearson_r,spearman_r,r2
P001,131,0.01,0.894,0.885,0.236,1.234,0.8679,-0.1188,0.822,0.708,0.676
P002,125,0.02,0.84,0.819,0.306,0.904,0.2881,0.3998,0.291,0.268,0.085
P003,132,0.021,0.863,0.842,0.355,1.122,0.7027,-0.0004,0.682,0.656,0.465
P004,121,0.068,0.84,0.772,0.359,1.034,0.8424,-0.1202,0.7,0.73,0.491
P005,126,0.015,0.874,0.859,0.309,1.136,0.8094,-0.0846,0.764,0.601,0.584
P006,124,0.011,0.85,0.839,0.256,0.924,1.0393,-0.1861,0.788,0.673,0.621
P007,126,0.01,0.835,0.825,0.162,0.847,0.2928,0.1901,0.225,0.14,0.051
P008,132,0.006,0.89,0.885,0.248,1.214,0.8579,-0.1047,0.832,0.697,0.692
P009,127,0.03,0.862,0.833,0.315,0.908,0.7724,-0.1013,0.662,0.678,0.438
P010,129,0.005,0.882,0.877,0.263,0.943,1.0603,-0.1682,0.766,0.725,0.587
P011,123,0.014,0.862,0.849,0.276,1.139,0.7917,-0.0654,0.721,0.6,0.521
P012,129,0.019,0.933,0.914,0.314,1.073,0.8528,-0.0959,0.63,0.632,0.397
P013,128,0.011,0.929,0.918,0.358,0.998,1.0024,-0.2789,0.712,0.64,0.507
P014,138,-0.027,0.903,0.93,0.318,0.94,1.0645,-0.2061,0.775,0.749,0.6
P015,131,0.084,0.866,0.781,0.211,0.868,1.0049,-0.1293,0.813,0.761,0.662
P016,122,0.009,0.824,0.815,0.313,0.855,0.772,-0.109,0.713,0.593,0.508
P017,130,0.018,0.862,0.844,0.378,0.981,1.1169,-0.2768,0.712,0.688,0.508
P018,138,0.001,0.722,0.721,0.349,0.857,0.8763,-0.153,0.721,0.729,0.52
P019,132,-0.006,0.918,0.924,0.276,1.155,1.0625,-0.1611,0.807,0.772,0.651
P020,125,0.015,0.914,0.899,0.201,0.885,0.8534,-0.0477,0.508,0.637,0.258
P021,129,0.026,0.855,0.83,0.282,1.051,0.6361,0.0128,0.653,0.625,0.427
P022,130,0.007,0.924,0.917,0.322,1.113,0.9521,-0.2242,0.787,0.577,0.619
P023,127,-0.235,0.828,1.063,0.138,0.829,-0.3166,0.3701,-0.219,0.069,0.048
P024,125,0.068,0.904,0.836,0.243,0.952,1.0839,-0.1535,0.786,0.762,0.617
P025,122,0.007,0.848,0.841,0.26,0.879,0.738,-0.0632,0.658,0.454,0.433
P026,131,0.019,0.933,0.913,0.251,1.036,1.0992,-0.2154,0.863,0.788,0.745
P027,125,0.013,0.853,0.84,0.239,0.954,0.7988,-0.1243,0.709,0.515,0.502
P028,128,-0.003,0.86,0.863,0.189,0.904,0.9295,-0.0753,0.71,0.684,0.504
P029,127,0.029,0.87,0.841,0.233,1.176,0.7616,-0.0135,0.708,0.614,0.502
P030,130,0.05,0.929,0.879,0.376,1.143,0.9728,-0.1957,0.744,0.757,0.553
P031,125,0.04,0.818,0.778,0.463,0.858,0.2489,0.3986,0.151,0.033,0.023
P032,123,0.062,0.841,0.779,0.243,0.974,0.2199,0.2582,0.146,0.271,0.021
P033,123,0.039,0.856,0.817,0.219,0.781,-0.2294,0.3922,-0.116,0.042,0.013
P034,119,0.037,0.874,0.836,0.27,0.867,0.1952,0.2778,0.111,0.25,0.012
P035,132,0.031,0.755,0.724,0.435,0.698,-0.0932,0.3816,-0.058,-0.233,0.003
P036,133,0.023,0.893,0.87,0.282,1.128,0.8155,-0.0428,0.679,0.693,0.461
P037,135,0.058,0.929,0.872,0.39,1.11,0.6297,0.1563,0.482,0.454,0.232
P038,123,0.073,0.777,0.704,0.34,1.127,0.7502,-0.0655,0.69,0.673,0.476
P039,125,0.051,0.752,0.701,0.473,0.836,0.887,-0.1296,0.487,0.446,0.237
P040,129,0.016,0.864,0.847,0.305,0.957,0.8752,-0.1339,0.771,0.601,0.594
P041,129,0.026,0.93,0.904,0.262,0.959,1.0172,-0.0766,0.73,0.688,0.533
P042,132,0.025,0.922,0.897,0.288,0.974,1.1918,-0.1517,0.704,0.637,0.496
P043,126,-0.026,0.883,0.909,0.227,0.968,0.3907,0.1724,0.31,0.34,0.096
P044,121,0.042,0.842,0.8,0.463,0.995,0.2809,0.3606,0.248,0.209,0.062
P045,121,0.084,0.836,0.752,0.247,1.051,0.7914,-0.0949,0.745,0.729,0.555
P046,126,0.059,0.795,0.737,0.464,0.849,0.7342,-0.0157,0.362,0.403,0.131
P047,129,0.004,0.879,0.875,0.207,0.82,0.0818,0.3277,0.052,0.174,0.003
P048,128,-0.162,0.891,1.052,0.196,0.861,0.1402,0.3475,0.077,0.147,0.006
P049,128,-0.028,0.885,0.914,0.295,1.064,0.674,-0.0319,0.49,0.658,0.24
P050,125,0.022,0.842,0.82,0.16,0.888,0.2996,0.2111,0.209,0.138,0.044
P051,130,0.022,0.92,0.898,0.285,1.125,0.9908,-0.1356,0.744,0.747,0.553
P052,135,0.02,0.898,0.879,0.293,1.092,1.1918,-0.258,0.803,0.804,0.645
P053,120,0.104,0.878,0.774,0.23,1.066,0.8846,-0.1283,0.752,0.724,0.565
