poly_id,s2_date,s1_date,delta_days,rvi,ndvi
P001,2023-01-28,2023-01-23,-5,0.5244170315160218,0.3152
P001,2023-02-07,2023-02-04,-3,0.2818032064872562,0.2706
P001,2023-02-12,2023-02-16,4,0.2410872648748488,0.2159
P001,2023-02-17,2023-02-16,-1,0.2410872648748488,0.2343
P001,2023-03-09,2023-03-12,3,0.3915390310621043,0.1554
P001,2023-03-29,2023-03-24,-5,0.4838365403201748,0.238
P001,2023-04-03,2023-04-05,2,0.4821936503599543,0.1446
P001,2023-04-13,2023-04-17,4,0.4366763877212454,0.1502
P001,2023-04-23,2023-04-17,-6,0.4366763877212454,0.1407
P001,2023-05-08,2023-05-11,3,0.2355243973948988,0.2738
P001,2023-05-18,2023-05-23,5,0.344708193137286,0.3788
P001,2023-06-07,2023-06-04,-3,0.7040666284064901,0.4586
P001,2023-06-12,2023-06-16,4,0.7599360578766106,0.6069
P001,2023-06-17,2023-06-16,-1,0.7599360578766106,0.6809
P001,2023-07-07,2023-07-10,3,0.8919486109436997,0.8943
P001,2023-07-12,2023-07-10,-2,0.8919486109436997,0.8188
P001,2023-07-17,2023-07-22,5,0.8224221547765981,0.8139
P001,2023-07-22,2023-07-22,0,0.8224221547765981,0.579
P001,2023-07-27,2023-07-22,-5,0.8224221547765981,0.7297
P001,2023-08-06,2023-08-03,-3,0.8489366520945288,0.8094
P001,2023-08-11,2023-08-15,4,0.8483426872681195,0.7508
P001,2023-08-16,2023-08-15,-1,0.8483426872681195,0.7387
P001,2023-08-21,2023-08-15,-6,0.8483426872681195,0.7034
P001,2023-08-26,2023-08-27,1,0.667797095828004,0.3387
P001,2023-08-31,2023-08-27,-4,0.667797095828004,0.2452
P001,2023-09-05,2023-09-08,3,0.5125839203354039,0.2311
P001,2023-09-10,2023-09-08,-2,0.5125839203354039,0.233
P001,2023-09-25,2023-09-20,-5,0.4464269246333181,0.2505
P001,2023-09-30,2023-10-02,2,0.4559913835324884,0.243
P001,2023-10-10,2023-10-14,4,0.479620743569807,0.0537
P001,2023-11-04,2023-11-07,3,0.4188267134008304,0.2099
P001,2023-11-24,2023-11-19,-5,0.4190367610744498,0.1322
P001,2023-11-29,2023-12-01,2,0.4793550461450211,0.1626
P001,2023-12-09,2023-12-13,4,0.4984144540307283,0.0096
P001,2023-12-19,2023-12-13,-6,0.4984144540307283,0.1743
P001,2023-12-24,2023-12-25,1,0.3561485392127382,0.1647
P001,2024-01-13,2024-01-18,5,0.3712627296977573,0.2081
P001,2024-01-23,2024-01-18,-5,0.3712627296977573,0.2168
P001,2024-02-02,2024-01-30,-3,0.3351161017707126,0.2156
P001,2024-03-03,2024-03-06,3,0.5739422244511745,0.5853
P001,2024-03-13,2024-03-18,5,0.7291339264933814,0.6684
P001,2024-03-23,2024-03-18,-5,0.7291339264933814,0.7481
P001,2024-04-02,2024-03-30,-3,0.8962378610898782,0.8026
P001,2024-04-07,2024-04-11,4,1.2337714295488162,0.7324
P001,2024-04-12,2024-04-11,-1,1.2337714295488162,0.6705
P001,2024-05-12,2024-05-17,5,1.1875989504346778,0.7244
P001,2024-05-17,2024-05-17,0,1.1875989504346778,0.7619
P001,2024-05-27,2024-05-29,2,1.216060474758356,0.648
P001,2024-06-01,2024-05-29,-3,1.216060474758356,0.6637
P001,2024-06-06,2024-06-10,4,0.8915396982874931,0.5327
P001,2024-06-11,2024-06-10,-1,0.8915396982874931,0.3852
P001,2024-06-16,2024-06-10,-6,0.8915396982874931,0.3915
P001,2024-07-06,2024-07-04,-2,0.55884928980956,0.2826
P001,2024-07-11,2024-07-16,5,0.5923569086962868,0.2797
P001,2024-07-26,2024-07-28,2,0.6615304732796087,0.3497
P001,2024-07-31,2024-07-28,-3,0.6615304732796087,0.1339
P001,2024-08-05,2024-08-09,4,0.3861457096199807,0.1844
P001,2024-08-10,2024-08-09,-1,0.3861457096199807,0.1324
P001,2024-08-15,2024-08-09,-6,0.3861457096199807,0.1484
P001,2024-08-25,2024-08-21,-4,0.4015954366128748,0.1647
P001,2024-08-30,2024-09-02,3,0.4027840933092917,0.142
P001,2024-09-09,2024-09-14,5,0.3497461713181685,0.1959
P001,2024-09-29,2024-09-26,-3,0.4436462251790639,0.181
P001,2024-10-29,2024-11-01,3,0.3656016971750467,0.0784
P001,2024-11-03,2024-11-01,-2,0.3656016971750467,0.1788
P001,2024-11-13,2024-11-13,0,0.3343482658307697,0.2069
P001,2024-11-23,2024-11-25,2,0.3193770421514227,0.2216
P001,2024-12-13,2024-12-07,-6,0.3524649934281539,0.134
P001,2024-12-23,2024-12-19,-4,0.413523187455326,0.2037
P001,2024-12-28,2024-12-31,3,0.3230987795031912,0.179
P001,2025-01-12,2025-01-12,0,0.3146151329348753,0.2021
P001,2025-01-17,2025-01-12,-5,0.3146151329348753,0.1627
P001,2025-02-06,2025-02-05,-1,0.2736509957768572,0.1695
P001,2025-02-16,2025-02-17,1,0.2495857360585159,0.2045
P001,2025-02-21,2025-02-17,-4,0.2495857360585159,0.1305
P001,2025-03-03,2025-03-01,-2,0.3546115383302253,0.1661
P001,2025-03-13,2025-03-13,0,0.2870729608692001,0.2831
P001,2025-03-23,2025-03-25,2,0.2591147786684113,0.2481
P001,2025-04-04,2025-04-06,2,0.3184042326773383,0.2339
P001,2025-04-12,2025-04-06,-6,0.3184042326773383,0.1731
P001,2025-04-17,2025-04-18,1,0.4079449968421118,0.2219
P001,2025-04-22,2025-04-18,-4,0.4079449968421118,0.2241
P001,2025-04-24,2025-04-18,-6,0.4079449968421118,0.1833
P001,2025-04-27,2025-04-30,3,0.3785817058462846,0.2235
P001,2025-05-02,2025-04-30,-2,0.3785817058462846,0.1522
P001,2025-05-07,2025-05-06,-1,0.291215877833904,0.2235
P001,2025-05-12,2025-05-12,0,0.3562097800870195,0.1539
P001,2025-05-14,2025-05-12,-2,0.3562097800870195,0.1803
P001,2025-05-17,2025-05-18,1,0.3444655887674984,0.1749
P001,2025-05-24,2025-05-24,0,0.4443468719479417,0.2748
